fecha,num_casos
2020-01-01,1
2020-01-02,0
2020-01-03,1
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,2
2020-01-11,1
2020-01-12,1
2020-01-13,2
2020-01-14,0
2020-01-15,1
2020-01-16,1
2020-01-17,1
2020-01-18,2
2020-01-19,0
2020-01-20,3
2020-01-21,0
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,1
2020-01-29,4
2020-01-30,1
2020-01-31,3
2020-02-01,16
2020-02-02,10
2020-02-03,11
2020-02-04,9
2020-02-05,6
2020-02-06,9
2020-02-07,15
2020-02-08,9
2020-02-09,3
2020-02-10,21
2020-02-11,13
2020-02-12,23
2020-02-13,24
2020-02-14,18
2020-02-15,35
2020-02-16,21
2020-02-17,27
2020-02-18,27
2020-02-19,17
2020-02-20,53
2020-02-21,59
2020-02-22,58
2020-02-23,73
2020-02-24,106
2020-02-25,128
2020-02-26,146
2020-02-27,179
2020-02-28,317
2020-02-29,245
2020-03-01,683
2020-03-02,792
2020-03-03,794
2020-03-04,948
2020-03-05,1275
2020-03-06,1606
2020-03-07,1855
2020-03-08,2179
2020-03-09,3376
2020-03-10,4625
2020-03-11,4695
2020-03-12,5907
2020-03-13,7731
2020-03-14,7417
2020-03-15,7816
2020-03-16,9398
2020-03-17,8786
2020-03-18,8896
2020-03-19,8612
2020-03-20,10555
2020-03-21,7375
2020-03-22,6755
2020-03-23,8202
2020-03-24,7081
2020-03-25,6892
2020-03-26,6320
2020-03-27,6013
2020-03-28,5345
2020-03-29,4235
2020-03-30,5099
2020-03-31,4393
2020-04-01,5440
2020-04-02,4415
2020-04-03,4452
2020-04-04,3652
2020-04-05,3200
2020-04-06,3520
2020-04-07,3194
2020-04-08,3458
2020-04-09,3274
2020-04-10,3163
2020-04-11,2869
2020-04-12,2249
2020-04-13,2170
2020-04-14,2249
2020-04-15,2348
2020-04-16,2277
2020-04-17,1911
2020-04-18,1659
2020-04-19,1139
2020-04-20,1457
2020-04-21,1317
2020-04-22,1471
2020-04-23,1183
2020-04-24,1112
2020-04-25,749
2020-04-26,557
2020-04-27,693
2020-04-28,851
2020-04-29,748
2020-04-30,739
2020-05-01,724
2020-05-02,661
2020-05-03,448
2020-05-04,490
2020-05-05,300
2020-05-06,297
2020-05-07,301
2020-05-08,375
2020-05-09,344
2020-05-10,360
2020-05-11,682
2020-05-12,579
2020-05-13,560
2020-05-14,511
2020-05-15,587
2020-05-16,397
2020-05-17,367
2020-05-18,586
2020-05-19,579
2020-05-20,457
2020-05-21,480
2020-05-22,586
