fecha,num_casos,mask_required
2020-01-01,1,y
2020-01-02,0,y
2020-01-03,1,y
2020-01-04,0,y
2020-01-05,0,y
2020-01-06,0,y
2020-01-07,0,y
2020-01-08,0,y
2020-01-09,0,y
2020-01-10,1,y
2020-01-11,1,y
2020-01-12,1,y
2020-01-13,2,y
2020-01-14,0,y
2020-01-15,1,y
2020-01-16,1,y
2020-01-17,1,y
2020-01-18,2,y
2020-01-19,0,y
2020-01-20,3,y
2020-01-21,0,y
2020-01-22,0,y
2020-01-23,2,y
2020-01-24,2,y
2020-01-25,1,y
2020-01-26,1,y
2020-01-27,1,y
2020-01-28,1,y
2020-01-29,4,y
2020-01-30,1,y
2020-01-31,3,y
2020-02-01,16,y
2020-02-02,10,y
2020-02-03,11,y
2020-02-04,9,y
2020-02-05,6,y
2020-02-06,9,y
2020-02-07,15,y
2020-02-08,9,y
2020-02-09,3,y
2020-02-10,21,y
2020-02-11,13,y
2020-02-12,23,y
2020-02-13,24,y
2020-02-14,18,y
2020-02-15,35,y
2020-02-16,21,y
2020-02-17,27,y
2020-02-18,27,y
2020-02-19,17,y
2020-02-20,53,y
2020-02-21,59,y
2020-02-22,58,y
2020-02-23,73,y
2020-02-24,106,y
2020-02-25,128,y
2020-02-26,146,y
2020-02-27,179,y
2020-02-28,317,y
2020-02-29,244,y
2020-03-01,682,y
2020-03-02,791,y
2020-03-03,793,y
2020-03-04,946,y
2020-03-05,1273,y
2020-03-06,1606,y
2020-03-07,1855,y
2020-03-08,2177,y
2020-03-09,3375,y
2020-03-10,4626,y
2020-03-11,4693,y
2020-03-12,5909,y
2020-03-13,7732,y
2020-03-14,7413,y
2020-03-15,7818,y
2020-03-16,9394,y
2020-03-17,8786,y
2020-03-18,8895,y
2020-03-19,8610,y
2020-03-20,10556,y
2020-03-21,7375,y
2020-03-22,6752,y
2020-03-23,8205,y
2020-03-24,7085,y
2020-03-25,6890,y
2020-03-26,6317,y
2020-03-27,6015,y
2020-03-28,5346,y
2020-03-29,4234,y
2020-03-30,5098,y
2020-03-31,4393,y
2020-04-01,5440,y
2020-04-02,4415,y
2020-04-03,4449,y
